evidence_id,transaction_id,evidence_type,content
EV_000001,TXN_000001,payment_authentication,Payment authentication status was success.
EV_000002,TXN_000001,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-07-13.
EV_000003,TXN_000001,refund_record,Refund status: none.
EV_000004,TXN_000002,payment_authentication,Payment authentication status was failed.
EV_000005,TXN_000002,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-05-15.
EV_000006,TXN_000002,refund_record,Refund status: none.
EV_000007,TXN_000003,payment_authentication,Payment authentication status was success.
EV_000008,TXN_000003,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-04-07.
EV_000009,TXN_000003,refund_record,Refund status: processed.
EV_000010,TXN_000004,payment_authentication,Payment authentication status was success.
EV_000011,TXN_000004,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-17.
EV_000012,TXN_000004,refund_record,Refund status: none.
EV_000013,TXN_000005,payment_authentication,Payment authentication status was success.
EV_000014,TXN_000005,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-06-29.
EV_000015,TXN_000005,refund_record,Refund status: processed.
EV_000016,TXN_000006,payment_authentication,Payment authentication status was success.
EV_000017,TXN_000006,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-07-29.
EV_000018,TXN_000006,refund_record,Refund status: none.
EV_000019,TXN_000007,payment_authentication,Payment authentication status was failed.
EV_000020,TXN_000007,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-26.
EV_000021,TXN_000007,refund_record,Refund status: none.
EV_000022,TXN_000008,payment_authentication,Payment authentication status was success.
EV_000023,TXN_000008,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-01-30.
EV_000024,TXN_000008,refund_record,Refund status: processed.
EV_000025,TXN_000009,payment_authentication,Payment authentication status was success.
EV_000026,TXN_000009,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-12.
EV_000027,TXN_000009,refund_record,Refund status: none.
EV_000028,TXN_000010,payment_authentication,Payment authentication status was failed.
EV_000029,TXN_000010,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-19.
EV_000030,TXN_000010,refund_record,Refund status: none.
EV_000031,TXN_000011,payment_authentication,Payment authentication status was failed.
EV_000032,TXN_000011,delivery_confirmation,Order delivery status: pending. Delivery date: 2026-04-24.
EV_000033,TXN_000011,refund_record,Refund status: none.
EV_000034,TXN_000012,payment_authentication,Payment authentication status was success.
EV_000035,TXN_000012,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-01-21.
EV_000036,TXN_000012,refund_record,Refund status: none.
EV_000037,TXN_000013,payment_authentication,Payment authentication status was success.
EV_000038,TXN_000013,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-04-20.
EV_000039,TXN_000013,refund_record,Refund status: processed.
EV_000040,TXN_000014,payment_authentication,Payment authentication status was failed.
EV_000041,TXN_000014,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-06-26.
EV_000042,TXN_000014,refund_record,Refund status: processed.
EV_000043,TXN_000015,payment_authentication,Payment authentication status was success.
EV_000044,TXN_000015,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-08.
EV_000045,TXN_000015,refund_record,Refund status: none.
EV_000046,TXN_000016,payment_authentication,Payment authentication status was success.
EV_000047,TXN_000016,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-11.
EV_000048,TXN_000016,refund_record,Refund status: none.
EV_000049,TXN_000017,payment_authentication,Payment authentication status was success.
EV_000050,TXN_000017,delivery_confirmation,Order delivery status: failed. Delivery date: 2026-04-08.
EV_000051,TXN_000017,refund_record,Refund status: none.
EV_000052,TXN_000018,payment_authentication,Payment authentication status was success.
EV_000053,TXN_000018,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-15.
EV_000054,TXN_000018,refund_record,Refund status: none.
EV_000055,TXN_000019,payment_authentication,Payment authentication status was success.
EV_000056,TXN_000019,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-18.
EV_000057,TXN_000019,refund_record,Refund status: none.
EV_000058,TXN_000020,payment_authentication,Payment authentication status was success.
EV_000059,TXN_000020,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-31.
EV_000060,TXN_000020,refund_record,Refund status: requested.
EV_000061,TXN_000021,payment_authentication,Payment authentication status was success.
EV_000062,TXN_000021,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-18.
EV_000063,TXN_000021,refund_record,Refund status: none.
EV_000064,TXN_000022,payment_authentication,Payment authentication status was success.
EV_000065,TXN_000022,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-03-31.
EV_000066,TXN_000022,refund_record,Refund status: none.
EV_000067,TXN_000023,payment_authentication,Payment authentication status was success.
EV_000068,TXN_000023,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-02-13.
EV_000069,TXN_000023,refund_record,Refund status: none.
EV_000070,TXN_000024,payment_authentication,Payment authentication status was success.
EV_000071,TXN_000024,delivery_confirmation,Order delivery status: delivered. Delivery date: 2026-05-13.
